,Company Name,Overview,Rating,Highly Rated For,Critically Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
5954,ACI Worldwide,Software Product | 501-1k Employees | 49 years old |  Coral Gables +3 more,4.3,"Company Culture, Work Life Balance, Salary & Benefits",,124,1.3k,9,3,21,--
5955,Colruyt Group,IT Services & Consulting | 501-1k Employees | Forbes Global 2000 | 17 years old | Hale,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,124,795,6,3,19,--
5956,Aditi Consulting,IT Services & Consulting | 501-1k Employees | MNC | 13 years old | Bellevue +4 more,3.7,"Salary & Benefits, Company Culture, Work Life Balance","Job Security, Promotions / Appraisal",124,697,5,11,15,5
5957, S&IB Services,Facility Management Services | 201-500 Employees | 36 years old | Kolkata +18 more,4.1,"Company Culture, Skill Development / Learning",Promotions / Appraisal,124,554,4,--,14,--
5958,Rexel,Industrial Automation | 201-500 Employees | Forbes Global 2000 | 10 years old | Pune +22 more,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,124,776,4,4,18,--
5959,Metro Tyres,Auto Components | 201-500 Employees | Public | 56 years old | Delhi/NCR +28 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",124,678,5,1,10,2
5960,Extentia Information Technology,IT Services & Consulting | 501-1k Employees | 26 years old | Pune +2 more,3.5,,"Promotions / Appraisal, Skill Development / Learning",124,1.3k,5,17,14,--
5961,HTL,Telecom | 51-200 Employees | 64 years old | Chennai +7 more,3.9,,"Promotions / Appraisal, Company Culture, Salary & Benefits",124,867,5,2,14,--
5962,Overseas Health Care,Pharma | 501-1k Employees | 30 years old | Jalandhar +33 more,3.1,,"Job Security, Promotions / Appraisal, Company Culture",124,377,6,--,13,--
5963,AGIO Pharmaceuticals,Pharma | 201-500 Employees | Public | 33 years old | Massachusetts +7 more,2.4,,"Salary & Benefits, Promotions / Appraisal, Job Security",124,685,6,25,6,1
5964,Holostik,Packaging | 1k-5k Employees | Public | 33 years old | Noida +11 more,4.0,"Work Life Balance, Job Security",,124,709,7,24,22,--
5965,Banaras Hindu University,Education & Training | 501-1k Employees | 108 years old | Varanasi/Benaras +16 more,4.6,"Work Life Balance, Skill Development / Learning, Company Culture",,124,339,4,--,19,--
5966,Sterling Biotech,Pharma | 501-1k Employees | Public | 39 years old | Mumbai +3 more,4.3,"Job Security, Work Satisfaction, Company Culture",Promotions / Appraisal,124,777,5,--,20,--
5967,Metro Tyres,Auto Components | 201-500 Employees | Public | 56 years old | Delhi/NCR +28 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",124,678,5,1,10,2
5968,Shemaroo Entertainment,Media & Entertainment | 501-1k Employees | Public | 62 years old | Mumbai +6 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",124,966,6,20,13,--
5969,Colruyt Group,IT Services & Consulting | 501-1k Employees | Forbes Global 2000 | 17 years old | Hale,4.1,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,124,795,6,3,19,--
5970,NPCC Engineering,Oil & Gas | 201-500 Employees | 17 years old | Mumbai +9 more,3.7,,"Skill Development / Learning, Promotions / Appraisal, Company Culture",124,649,13,--,15,--
5971,ACI Worldwide,Software Product | 501-1k Employees | 49 years old |  Coral Gables +3 more,4.3,"Company Culture, Work Life Balance, Salary & Benefits",,124,1.3k,9,3,21,--
5972,Speciality Restaurants,Hospitality | 1k-5k Employees | Public | 33 years old | Mumbai +12 more,4.2,"Job Security, Work Life Balance, Salary & Benefits",,124,534,4,4,20,--
5973,Deep Industries,Oil & Gas | 1k-5k Employees | Public | 33 years old | Ahmedabad +10 more,3.4,,"Salary & Benefits, Promotions / Appraisal, Job Security",124,879,7,2,8,--
5974,Sarda Energy & Minerals,Iron & Steel | 1k-5k Employees | Public | 51 years old | Raipur +4 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,124,599,5,9,12,--
5975,Tps Infrastructure,Industrial Machinery | 201-500 Employees | 34 years old | Delhi/NCR +11 more,3.7,,"Job Security, Company Culture",124,681,8,6,13,--
5976, S&IB Services,Facility Management Services | 201-500 Employees | 36 years old | Kolkata +18 more,4.1,"Company Culture, Skill Development / Learning",Promotions / Appraisal,124,554,4,--,14,--
5977,Maharashtra State Road Transport Corporation,Urban Transport | 1 Lakh+ Employees | 76 years old | Mumbai +29 more,4.3,"Job Security, Skill Development / Learning, Work Satisfaction",,124,384,2,--,19,--
5978,Diagno Labs,Healthcare | 201-500 Employees (Global) | 12 years old | Gurgaon/Gurugram +27 more,4.0,"Skill Development / Learning, Work Life Balance",Job Security,124,463,2,--,12,--
5979,SGB,Engineering & Construction | 51-200 Employees | San Diego +21 more,4.0,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Job Security",124,457,2,3,23,2
5980,ONKAR DIES,Engineering & Construction | 201-500 Employees | 26 years old | Pune +5 more,4.0,Skill Development / Learning,,124,669,4,1,17,--
5981,Dish Infra Services,Telecom | 501-1k Employees | Delhi +47 more,3.8,,"Job Security, Promotions / Appraisal",124,505,5,--,9,--
5982,INDIA TODAY GROUP,Media & Entertainment | 1k-5k Employees | 49 years old | Noida +9 more,3.9,Job Security,"Promotions / Appraisal, Salary & Benefits",124,1.2k,4,8,20,--
5983,University of Engineering and Management,Education & Training | 201-500 Employees | 10 years old | Kolkata +16 more,3.7,Job Security,Promotions / Appraisal,124,341,3,--,18,--
5984, Innovassynth Technologies  ,Chemicals | 501-1k Employees | 22 years old | Mumbai +5 more,3.8,,"Job Security, Promotions / Appraisal",124,762,10,4,13,--
5985,Rexel,Industrial Automation | 201-500 Employees | Forbes Global 2000 | 10 years old | Pune +22 more,3.9,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,124,776,4,4,18,--
5986,DesignCafe,Architecture & Interior Design | 501-1k Employees | Startup | 8 years old | Bangalore +7 more,3.5,,"Promotions / Appraisal, Job Security, Skill Development / Learning",124,1k,4,44,11,36
5987,Bsr Infratech India,Engineering & Construction | 1k-5k Employees | 16 years old | Bengaluru +11 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",124,717,9,--,16,--
5988,Cyntexa,IT Services & Consulting | 201-500 Employees | 6 years old | San Francisco +1 more,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction",,124,283,12,30,8,77
5989,Haldiram Bhujiawala,Food Processing | 201-500 Employees | 66 years old | Kolkata +31 more,3.7,,"Promotions / Appraisal, Job Security, Work Satisfaction",124,567,4,--,7,--
5990,MEDICO Healthcare Services & Technologies,Healthcare | 201-500 Employees | 8 years old | Columbia +5 more,3.6,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Company Culture",124,652,18,--,14,--
5991,Illusion Dental Laboratory,Medical Equipment | 11-50 Employees | 20 years old | Mumbai +21 more,3.8,"Job Security, Work Life Balance",,124,459,8,4,6,--
5992,Ind Innovations,IT Services & Consulting | 11-50 Employees | 10 years old | Delhi/NCR +28 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Company Culture",124,687,6,--,12,--
5993,Ebullient Securities,Financial Services | 51-200 Employees | Gurgaon / Gurugram +1 more,3.5,"Salary & Benefits, Work Life Balance","Job Security, Company Culture",124,353,10,7,13,--
5994,BUDDI.AI,Software Product | 201-500 Employees | 11 years old | New York +7 more,4.1,"Skill Development / Learning, Job Security, Company Culture",,124,393,11,12,31,16
5995,Turito,EdTech | 201-500 Employees | Startup | Hyderabad +3 more,3.1,,"Promotions / Appraisal, Salary & Benefits, Job Security",124,658,20,8,12,--
5996,AGS Healthcare,Chennai +6 more,4.3,"Job Security, Work Life Balance, Company Culture",,124,884,3,--,1,--
5997,Zopper,Internet | 501-1k Employees | 13 years old | Noida +23 more,3.3,,"Work Satisfaction, Job Security, Skill Development / Learning",124,723,5,28,16,7
5998,Lynk,Logistics | 51-200 Employees | 9 years old | Chennai +9 more,3.1,,"Job Security, Promotions / Appraisal, Company Culture",124,991,10,21,8,--
5999,XSEED Education,EdTech | 201-500 Employees (Global) | 16 years old | Bangalore/Bengaluru +17 more,3.3,,"Job Security, Promotions / Appraisal, Work Satisfaction",124,682,5,7,18,--
6000,Ms Agarwal Foundries,Iron & Steel | 51-200 Employees | 34 years old | Secunderabad +7 more,4.2,"Skill Development / Learning, Job Security, Salary & Benefits",,124,565,10,14,8,1
6001,Bajaj Finserv Health,Internet | 1k-5k Employees | Pune +23 more,3.5,Job Security,"Work Satisfaction, Company Culture, Work Life Balance",124,821,11,11,13,--
6002,Vertex Global Services,IT Services & Consulting | 51-200 Employees | Gurugram +2 more,4.1,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,124,164,5,36,2,2
6003,FreshersNow,Hyderabad / Secunderabad +27 more,4.0,"Skill Development / Learning, Work Satisfaction, Company Culture",,124,199,22,--,2,--
6004,Nitor Infotech,IT Services & Consulting | 501-1k Employees | 18 years old | United states +1 more,3.9,"Skill Development / Learning, Company Culture, Work Satisfaction",,124,1.5k,11,3,14,54
6005,Interglobe Air Transport,Aviation | 51-200 Employees | 35 years old | Gurgaon +25 more,3.5,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",123,790,3,--,16,--
6006,Annet Technologies,Software Product | 201-500 Employees | 26 years old | Dallas +4 more,4.0,"Job Security, Work Life Balance, Company Culture",Salary & Benefits,123,818,6,1,14,--
6007,LimeRoad,Internet | 501-1k Employees | Startup | 12 years old | Gurgaon +5 more,3.0,,"Promotions / Appraisal, Salary & Benefits, Job Security",123,1.1k,7,17,5,1
6008,ValueFirst Digital Media,Software Product | 501-1k Employees | 21 years old | Gurgaon +7 more,3.7,Company Culture,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",123,989,7,10,22,--
6009,Jotun Paints,Petrochemicals | 201-500 Employees | 98 years old | Sandefjord +21 more,4.0,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,123,574,5,6,22,--
6010,Synchronoss Technologies,Telecom | 501-1k Employees | 24 years old | Bridgewater +3 more,4.2,"Work Life Balance, Company Culture, Work Satisfaction",,123,1.4k,4,7,18,--
6011,Euronet Worldwide,FinTech | 501-1k Employees | 30 years old | Leawood +8 more,3.8,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",123,1k,6,--,17,--
6012,SP Apparels,Fashion & Textile | 1k-5k Employees | Public | 18 years old | Coimbatore +16 more,4.2,"Work Life Balance, Job Security",Promotions / Appraisal,123,634,3,--,11,--
6013,State Street Bank,Banking | 5k-10k Employees | 232 years old | Boston +10 more,3.7,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",123,1.6k,9,--,11,--
6014,Rural Electrification Corporation,Power | 501-1k Employees (Global) | 55 years old | New Delhi +30 more,4.3,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions / Appraisal",123,538,5,--,12,--
6015,Danblock Brakes,Industrial Machinery | 51-200 Employees | 288 years old | Hestehaven +5 more,4.2,"Job Security, Work Satisfaction, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",123,614,6,--,16,--
6016,Mutual Industries,Petrochemicals | 201-500 Employees | Public | 45 years old | Mumbai +11 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Company Culture",123,611,6,1,15,--
6017,Volante Technologies,FinTech | 201-500 Employees | New York +4 more,3.3,,"Work Satisfaction, Promotions / Appraisal, Job Security",123,1.2k,12,--,20,--
6018,Khaitan Electricals,Food Processing | 201-500 Employees | Public | 43 years old | Kolkata +33 more,3.1,,"Promotions / Appraisal, Salary & Benefits, Company Culture",123,385,6,--,8,--
6019,Mehta Cad Cam Systems,Industrial Machinery | 51-200 Employees | 35 years old | Ahmedabad +16 more,3.7,,"Salary & Benefits, Promotions / Appraisal",123,706,5,1,10,--
6020,CPC Diagnostics,Medical Equipment | 201-500 Employees | 37 years old | Chennai +23 more,4.1,"Company Culture, Skill Development / Learning, Work Satisfaction",,123,544,3,8,14,--
6021,Philip Morris International,FMCG | 51-200 Employees | Forbes Global 2000 | 37 years old | New York +27 more,3.7,"Company Culture, Work Life Balance","Promotions / Appraisal, Skill Development / Learning, Job Security",123,603,3,--,19,--
6022,Plintron Global Technology Solutions,Telecom | 501-1k Employees | 16 years old | Singapore +2 more,3.2,,"Promotions / Appraisal, Salary & Benefits, Company Culture",123,1.1k,9,6,11,--
6023,Gunnebo,Defence & Aerospace | 1k-5k Employees | 92 years old | Gothenburg +13 more,3.9,"Job Security, Work Life Balance",Promotions / Appraisal,123,738,4,1,16,--
6024,Orange Mantra,IT Services & Consulting | 201-500 Employees | 23 years old | Gurgaon/Gurugram +7 more,4.0,"Work Life Balance, Salary & Benefits, Work Satisfaction",,123,855,15,144,26,--
6025,Arch Pharmalabs,Pharma | 201-500 Employees | 25 years old | Mumbai +13 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture",123,691,3,--,14,--
6026,Oswal Group,Fashion & Textile | 501-1k Employees (Global) | 21 years old | Ludhiana +12 more,3.7,Skill Development / Learning,"Job Security, Promotions / Appraisal",123,563,6,1,3,--
6027,Aranca,Analytics & KPO | 501-1k Employees | 21 years old | Mumbai +2 more,3.6,Company Culture,"Promotions / Appraisal, Salary & Benefits",123,1k,3,97,23,--
6028,Meghmani Finechem,Chemicals | 501-1k Employees | 17 years old | Ahmedabad +3 more,4.2,"Job Security, Work Life Balance, Company Culture",Salary & Benefits,123,941,11,--,19,--
6029,Black Box Corporation,IT Services & Consulting | 1k-5k Employees | Fortune India 500 | 48 years old | Lawrence +15 more,3.3,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",123,1k,11,7,10,--
6030,BASIX Academy for Building Lifelong Employability,Education & Training | 11-50 Employees | 15 years old | New Delhi +38 more,3.6,,"Job Security, Promotions / Appraisal, Salary & Benefits",123,281,6,--,7,--
6031,Panda Retail Company,Retail | 1-10 Employees | 46 years old | Jeddah +13 more,4.3,"Work Life Balance, Job Security, Company Culture",,123,188,1,1,24,--
6032,Brainium Information Technologies,IT Services & Consulting | 201-500 Employees | 15 years old | Kolkata +1 more,4.1,"Company Culture, Work Life Balance, Work Satisfaction",,123,459,8,8,22,--
6033,Ivangel Sales & Services,BPO | 25 years old | Kolkata +29 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",123,513,2,--,6,--
6034,Paranjape Schemes Construction,Real Estate | 201-500 Employees | 94 years old | Pune +7 more,3.9,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",123,794,7,1,19,--
6035,SEG Automotive,Auto Components | 201-500 Employees | 6 years old | Stuttgart +7 more,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",123,951,7,4,17,--
6036,BIC Contracting,Engineering & Construction | 1k-5k Employees | Dubai +8 more,4.5,"Salary & Benefits, Work Life Balance",Job Security,123,245,1,--,16,--
6037,Ewac Alloys,Industrial Machinery | 51-200 Employees | 62 years old | Mumbai +32 more,4.1,Skill Development / Learning,Promotions / Appraisal,123,609,9,--,23,--
6038,The Chennai Silks,Fashion & Textile | 201-500 Employees | 60 years old | Tirupur/Tiruppur +17 more,3.7,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",123,806,2,4,12,--
6039,Privat Hospital,Healthcare | 201-500 Employees (Global) | 29 years old | Gurgaon +51 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,123,1.5k,4,--,14,--
6040,Bikayi,Marketing & Advertising | 51-200 Employees | Startup | 5 years old | Bangalore / Bengaluru +4 more,3.0,,"Job Security, Work Satisfaction, Promotions / Appraisal",123,339,9,25,22,5
6041,BIC Contracting,Engineering & Construction | 1k-5k Employees | Dubai +8 more,4.5,"Salary & Benefits, Work Life Balance",Job Security,123,245,1,--,16,--
6042,Taggd,Recruitment | 501-1k Employees | 19 years old | Gurgaon / Gurugram +6 more,3.9,"Skill Development / Learning, Salary & Benefits, Company Culture",,123,284,5,366,4,5
6043,Geeklurn,EdTech | 51-200 Employees | Bangalore / Bengaluru +2 more,3.8,Salary & Benefits,,123,129,4,--,4,--
6044,The Chennai Silks,Fashion & Textile | 201-500 Employees | 60 years old | Tiruppur +17 more,3.7,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",123,806,2,4,12,--
6045,EagleView,IT Services & Consulting | 201-500 Employees | 16 years old | Bangalore / Bengaluru +2 more,3.2,,"Promotions / Appraisal, Job Security, Skill Development / Learning",123,751,7,33,19,2
